============================================================
Baseline prod Jolene — Edge functions Supabase
Extrait le 2026-07-03 via MCP list_edge_functions (projet flripxtsyegjshnhzjkz)
68 fonctions, toutes status=ACTIVE — tri par nom
============================================================

name                                 version   updated_at             verify_jwt
----                                 -------   ----------             ----------
admin-2fa                            170       2026-07-02T19:08:02Z   false
admin-invoke                         561       2026-07-02T19:08:03Z   true
api-v1                               683       2026-07-02T19:08:05Z   false
avis-parrainage                      150       2026-07-02T19:08:06Z   false
calendar-feed                        721       2026-07-02T19:08:08Z   false
calendar-sync                        585       2026-07-02T19:08:10Z   false
chorus-pro-deposit                   703       2026-07-02T19:08:11Z   false
chorus-pro-verify                    410       2026-07-02T19:08:13Z   true
confirm-email-etab                   202       2026-07-02T19:08:15Z   false
confirm-invoice-payment              645       2026-07-02T19:08:17Z   false
contact-form                         97        2026-07-02T19:08:18Z   false
create-invoice-payment               767       2026-07-02T19:08:20Z   false
create-mission-payment               708       2026-07-02T19:08:21Z   false
debug-piste                          16        2026-06-11T08:40:41Z   false
digest-hebdo                         150       2026-07-02T19:08:23Z   false
email-cron                           695       2026-07-02T19:08:25Z   false
enrich-prospects-annuaire            121       2026-07-02T19:08:26Z   false
factor-request-advance               594       2026-07-02T19:08:28Z   false
factor-webhook                       591       2026-07-02T19:08:29Z   false
generate-contrat-mission-pdf         313       2026-07-02T19:08:31Z   false
generate-invoice                     565       2026-07-02T19:08:34Z   false
health-check                         759       2026-07-02T19:08:35Z   false
import-annuaire-cnam                 135       2026-07-02T19:08:37Z   false
import-finess                        155       2026-07-02T19:08:38Z   false
invoke-generate-invoice-internal     117       2026-04-16T09:58:05Z   true
litige-escalation-cron               557       2026-07-02T19:08:40Z   false
messagerie-validate                  284       2026-07-02T19:08:41Z   false
notif-candidature-acceptee           281       2026-07-02T19:08:43Z   false
notif-match                          282       2026-07-02T19:08:45Z   false
notify-support                       48        2026-07-02T19:08:47Z   false
process-externalisation-actions      303       2026-07-02T19:08:48Z   false
process-stripe-refunds               554       2026-07-02T19:08:50Z   false
prospects-etablissements             155       2026-07-02T19:08:52Z   false
psc-authorize                        593       2026-07-02T19:08:53Z   false
psc-callback                         591       2026-07-02T19:08:55Z   false
psc-logout                           355       2026-07-02T19:08:56Z   false
psc-test-connexion                   355       2026-07-02T19:08:58Z   false
register-etablissement               744       2026-07-02T19:08:59Z   false
register-soignant                    732       2026-07-02T19:09:01Z   false
relance-inactifs                     150       2026-07-02T19:09:03Z   false
sales-outreach                       152       2026-07-02T19:09:06Z   false
sales-outreach-batch                 123       2026-07-02T19:09:04Z   false
send-email                           778       2026-07-02T19:09:08Z   false
send-push                            699       2026-07-02T19:09:10Z   false
send-sms                             590       2026-07-02T19:09:11Z   false
sepa-auto-charge                     592       2026-07-02T19:09:13Z   false
set-user-claims                      763       2026-07-02T19:09:15Z   false
setup-sepa                           700       2026-07-02T19:09:17Z   false
sitemap-missions                     148       2026-07-02T19:09:18Z   false
stripe-connect-onboard               635       2026-07-02T19:09:20Z   false
stripe-connect-pay-mission           644       2026-07-02T19:09:22Z   false
stripe-connect-status                632       2026-07-02T19:09:24Z   false
stripe-webhook                       764       2026-07-02T19:09:27Z   false
submit-to-chorus                     559       2026-07-02T19:09:28Z   false
swan-webhook                         246       2026-07-02T19:09:30Z   false
sync-chorus-status                   561       2026-07-02T19:09:31Z   false
test-piste-credentials               549       2026-07-02T19:09:33Z   false
verify-contrat-etablissement         172       2026-07-02T19:09:35Z   false
verify-contrat-travail               169       2026-07-02T19:09:36Z   false
verify-document                      716       2026-07-02T19:09:38Z   false
verify-finess                        205       2026-07-02T19:09:39Z   false
verify-heures-externes               226       2026-07-02T19:09:41Z   false
verify-justificatif-fonction         86        2026-07-02T19:09:43Z   true
verify-piece-identite-etab           201       2026-07-02T19:09:44Z   true
verify-rib-etablissement             167       2026-07-02T19:09:46Z   false
verify-rpps                          768       2026-07-02T19:09:47Z   false
verify-siret                         639       2026-07-02T19:09:49Z   false
weekly-invoicing-cron                462       2026-07-02T19:09:51Z   false
